x,y,z
0.045,0.064,0.026
0.023,-0.026,0.03
0.068,-0.011,0.019
0.087,0.008,-0.106
0.2,0.087,-0.049
0.14,0.083,-0.004
0.064,0.008,0.011
0.094,0.057,0.026
0.057,0.064,0.049
0.094,0.041,-0.034
0.068,0.06,0.072
0.083,0.068,0.03
0.049,0.045,-0.094
0.053,0.072,-0.113
0.106,0.03,-0.023
0.143,-0.004,-0.147
0.053,0.008,-0.072
0.053,0.041,0.045
0.117,0.072,0.041
0.143,-0.008,-0.14
0.124,0.053,-0.136
0.113,0.023,-0.087
0.049,0.011,-0.03
-0.008,0.087,-0.034
0.068,0.128,-0.045
0.113,0.064,-0.109
0.011,0.094,-0.068
0.091,0.038,-0.034
0.109,0.03,-0.075
0.098,0.015,-0.041
0.128,0.023,0.03
0.098,0.072,-0.023
0.068,0.053,-0.038
0.113,0.091,-0.083
0.083,0.098,0.0
0.064,0.094,-0.053
0.14,0.045,-0.113
0.155,0.026,0.011
0.049,0.087,0.026
0.068,0.004,0.121
0.049,0.019,0.03
0.162,0.015,0.041
0.192,0.038,-0.026
0.098,-0.011,-0.166
0.079,0.034,-0.026
0.083,-0.038,-0.072
0.079,0.011,-0.023
0.109,0.075,-0.03
0.113,0.023,-0.117
0.155,0.053,-0.053
0.113,0.083,0.015
0.117,0.011,0.0
0.128,0.011,0.041
0.2,0.041,-0.091
0.106,0.083,-0.113
0.177,0.03,0.004
0.109,0.075,0.083
0.121,0.072,-0.034
0.034,0.072,-0.068
0.117,0.064,-0.038
0.102,0.038,0.124
0.083,0.068,0.083
0.064,0.038,0.049
0.094,0.064,-0.03
0.143,0.102,-0.015
0.109,0.019,-0.068
0.091,-0.026,0.011
0.094,0.041,-0.06
0.113,0.011,-0.113
0.132,-0.034,0.004
0.155,0.034,-0.034
0.072,0.038,-0.045
0.098,0.038,0.011
0.117,0.026,0.026
0.026,0.041,0.004
0.158,0.094,-0.075
0.147,0.094,0.011
0.136,0.075,-0.034
0.083,0.053,-0.057
0.075,0.008,-0.049
0.075,-0.008,-0.008
0.087,0.011,-0.053
0.109,-0.041,-0.03
0.117,0.019,-0.034
0.049,0.06,-0.004
0.151,0.034,0.038
0.109,0.045,-0.034
0.136,0.057,-0.019
0.072,0.091,-0.015
0.045,-0.015,0.034
0.079,0.008,0.038
0.113,0.057,0.015
0.098,0.008,-0.011
0.023,0.026,-0.011
0.034,0.0,-0.038
0.087,-0.008,0.034
0.109,0.038,0.117
0.117,-0.004,-0.015
0.155,-0.023,0.079
0.038,0.053,-0.057
-0.004,0.072,-0.015
0.06,0.019,0.057
0.113,0.094,-0.057
0.124,0.091,-0.079
0.064,0.045,-0.011
0.049,-0.011,0.083
0.151,0.057,-0.083
0.17,0.083,-0.075
0.109,0.14,0.008
0.03,0.045,0.113
0.106,0.132,-0.019
0.064,0.109,-0.03
0.136,0.064,0.008
0.109,0.109,-0.053
0.102,0.109,-0.109
0.106,0.087,-0.034
0.106,0.06,-0.053
0.109,-0.034,0.091
0.102,0.019,-0.045
0.143,-0.008,-0.015
0.075,-0.049,-0.026
0.128,0.038,-0.026
